fpr tpr
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0000 0.7776
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.0054 0.8279
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
0.1359 0.8295
1.0000 1.0000
